n =  3239, term = 12, ratio = 1.006219, overshoot = 2.520986e+1461
n =  3252, term = 13, ratio = 1.024206, overshoot = 1.028859e+1468
n =  3265, term = 13, ratio = 1.071339, overshoot = 1.589784e+1474
n =  3277, term = 12, ratio = 1.048303, overshoot = 2.821764e+1479
n =  3289, term = 12, ratio = 1.017345, overshoot = 2.656151e+1484
n =  3302, term = 13, ratio = 1.038216, overshoot = 6.136606e+1490
n =  3314, term = 12, ratio = 1.013562, overshoot = 5.709019e+1495
n =  3327, term = 13, ratio = 1.011562, overshoot = 5.103640e+1501
n =  3340, term = 13, ratio = 1.055726, overshoot = 1.289594e+1508
n =  3352, term = 12, ratio = 1.031068, overshoot = 1.884715e+1513
n =  3364, term = 12, ratio = 1.006491, overshoot = 1.032324e+1518
n =  3377, term = 13, ratio = 1.028040, overshoot = 4.675784e+1524
n =  3390, term = 13, ratio = 1.037335, overshoot = 6.528218e+1530
n =  3402, term = 12, ratio = 1.011927, overshoot = 5.467187e+1535
n =  3415, term = 13, ratio = 1.052647, overshoot = 1.265215e+1542
n =  3427, term = 12, ratio = 1.028951, overshoot = 1.823830e+1547
n =  3440, term = 13, ratio = 1.042826, overshoot = 2.829042e+1553
n =  3452, term = 12, ratio = 1.017203, overshoot = 2.979068e+1558
n =  3465, term = 13, ratio = 1.064318, overshoot = 5.839393e+1564
n =  3477, term = 12, ratio = 1.040782, overshoot = 9.706062e+1569
n =  3489, term = 12, ratio = 1.009252, overshoot = 5.772483e+1574
n =  3502, term = 13, ratio = 1.029953, overshoot = 1.959578e+1581
n =  3514, term = 12, ratio = 1.004764, overshoot = 8.170943e+1585
n =  3527, term = 13, ratio = 1.018514, overshoot = 3.329309e+1592
n =  3540, term = 13, ratio = 1.049585, overshoot = 4.674998e+1598
n =  3552, term = 12, ratio = 1.023078, overshoot = 5.703797e+1603
n =  3565, term = 13, ratio = 1.042953, overshoot = 1.113169e+1610
n =  3577, term = 12, ratio = 1.018530, overshoot = 1.258854e+1615
n =  3590, term = 13, ratio = 1.031224, overshoot = 2.224277e+1621
n =  3602, term = 12, ratio = 1.003255, overshoot = 6.079014e+1625
n =  3615, term = 13, ratio = 1.043216, overshoot = 4.231183e+1632
n =  3627, term = 12, ratio = 1.018609, overshoot = 4.776105e+1637
n =  3640, term = 13, ratio = 1.036973, overshoot = 9.950358e+1643
n =  3652, term = 12, ratio = 1.007913, overshoot = 5.582625e+1648
n =  3665, term = 13, ratio = 1.054173, overshoot = 2.003784e+1655
n =  3677, term = 12, ratio = 1.029652, overshoot = 2.875153e+1660
n =  3690, term = 13, ratio = 1.044131, overshoot = 4.486919e+1666
n =  3702, term = 12, ratio = 1.017644, overshoot = 4.702693e+1671
n =  3715, term = 13, ratio = 1.030190, overshoot = 8.437275e+1677
n =  3727, term = 12, ratio = 1.005238, overshoot = 3.837239e+1682
n =  3740, term = 13, ratio = 1.036355, overshoot = 1.396441e+1689
n =  3752, term = 12, ratio = 1.009143, overshoot = 9.206722e+1693
n =  3765, term = 13, ratio = 1.028964, overshoot = 3.058083e+1700
n =  3777, term = 12, ratio = 1.003869, overshoot = 1.070824e+1705
n =  3790, term = 13, ratio = 1.016433, overshoot = 4.769310e+1711
n =  3803, term = 13, ratio = 1.053395, overshoot = 8.124618e+1717
n =  3815, term = 12, ratio = 1.028007, overshoot = 1.117151e+1723
n =  3827, term = 12, ratio = 1.002722, overshoot = 2.845979e+1727
n =  3840, term = 13, ratio = 1.021088, overshoot = 2.312143e+1734
n =  3853, term = 13, ratio = 1.063444, overshoot = 3.647061e+1740
n =  3865, term = 12, ratio = 1.038013, overshoot = 5.728377e+1745
n =  3877, term = 12, ratio = 1.012806, overshoot = 5.058743e+1750
n =  3890, term = 13, ratio = 1.033932, overshoot = 1.405549e+1757
n =  3902, term = 12, ratio = 1.002582, overshoot = 2.803935e+1761
n =  3915, term = 13, ratio = 1.013956, overshoot = 1.589060e+1768
n =  3928, term = 13, ratio = 1.054750, overshoot = 3.268339e+1774
n =  3940, term = 12, ratio = 1.030336, overshoot = 4.747213e+1779
n =  3953, term = 13, ratio = 1.039411, overshoot = 6.466922e+1785
n =  3965, term = 12, ratio = 1.012282, overshoot = 5.283177e+1790
n =  3978, term = 13, ratio = 1.061040, overshoot = 1.376592e+1797
n =  3991, term = 13, ratio = 1.062653, overshoot = 1.481614e+1803
n =  4003, term = 12, ratio = 1.035227, overshoot = 2.183757e+1808
n =  4015, term = 12, ratio = 1.008969, overshoot = 1.457604e+1813
n =  4028, term = 13, ratio = 1.026414, overshoot = 4.501008e+1819
n =  4040, term = 12, ratio = 1.001228, overshoot = 5.484074e+1823
n =  4053, term = 13, ratio = 1.044127, overshoot = 1.033450e+1831
n =  4065, term = 12, ratio = 1.017893, overshoot = 1.098517e+1836
n =  4078, term = 13, ratio = 1.038131, overshoot = 2.454731e+1842
n =  4090, term = 12, ratio = 1.013174, overshoot = 2.223132e+1847
n =  4103, term = 13, ratio = 1.019609, overshoot = 3.469892e+1853
n =  4116, term = 13, ratio = 1.058740, overshoot = 5.449666e+1859
n =  4128, term = 12, ratio = 1.033668, overshoot = 8.188314e+1864
n =  4140, term = 12, ratio = 1.008468, overshoot = 5.398451e+1869
n =  4153, term = 13, ratio = 1.017499, overshoot = 1.169848e+1876
n =  4166, term = 13, ratio = 1.064280, overshoot = 2.252998e+1882
n =  4178, term = 12, ratio = 1.039145, overshoot = 3.596614e+1887
n =  4190, term = 12, ratio = 1.013946, overshoot = 3.358946e+1892
n =  4203, term = 13, ratio = 1.015779, overshoot = 3.985042e+1898
n =  4216, term = 13, ratio = 1.030289, overshoot = 8.021355e+1904
n =  4228, term = 12, ratio = 1.003919, overshoot = 2.720895e+1909
n =  4241, term = 13, ratio = 1.050066, overshoot = 1.822269e+1916
